Deal Type,Announce Date,Target Name,Acquirer Name,Seller Name,Announced Total Value (mil.),Payment Type,TV/EBITDA,Deal Status,Target Industry Sector,Ticker
M&A,20/9/2017,Kioxia Corp,"Apple Inc,Hoya Corp,SK Hynix Inc,Seagate Technology PLC,Dell Technologies Capital,Kingston Technology Corp,Bain Capital Private Equity LP (Fund: Bain Capital Asia Fund III LP)",Toshiba Corp,17957.62,Cash, ,Completed,Technology,AAPL
M&A,30/6/2011,Nortel's Patent Portfolio,"EMC Corp,Sony Corp,Apple Inc,Microsoft Corp,Telefonaktiebolaget LM Ericsson,BlackBerry Ltd",Nortel Networks Corp,4500,Cash, ,Completed,Communications,AAPL
M&A,28/5/2014,"Beats Electronics LLC,Beats Music LLC",Apple Inc,"Vivendi SE,Private Investor,Carlyle Group Inc/The (Fund: Carlyle Partners V LP)",3000,Cash, ,Completed,"Consumer, Cyclical, Technology",AAPL
M&A,25/7/2019,Smartphone modem business,Apple Inc,Intel Corp,1000,Cash, ,Completed,Communications,AAPL
M&A,20/12/1996,Next Computer Inc,Apple Inc,,400,Undisclosed, ,Completed,N.A.,AAPL
M&A,10/1/2012,Anobit Technologies Ltd,Apple Inc,,390,Cash, ,Completed,Technology,AAPL
M&A,25/11/2013,PrimeSense Ltd,Apple Inc,"Silver Lake Management LLC (Fund: Silver Lake Sumeru Fund LP),Canaan Management Inc (Fund: Canaan Equity VIII LP),Gemini Israel Funds Ltd (Fund: Gemini Israel IV LP),Kreos Capital Management UK Ltd (Fund: Kreos Capital III LP),Genesis Partners Ltd (Fund: Genesis Partners III)",360,Cash, ,Completed,Industrial,AAPL
M&A,27/7/2012,AuthenTec Inc,Apple Inc,,337.29,Cash,93.72,Completed,Technology,AAPL
M&A,5/8/2016,Turi Inc,Apple Inc,"Vulcan Inc,Opus Capital Group LLC/DE,New Enterprise Associates Inc (Fund: New Enterprise Associates XIV LP),Madrona Venture Group LLC (Fund: Madrona Venture Fund V LP)",200,Cash, ,Completed,Technology,AAPL
M&A,13/5/2017,Lattice Data Inc,Apple Inc,,200,Undisclosed, ,Completed,Technology,AAPL
M&A,14/7/2011,C3 Technologies AB,Apple Inc,Saab AB,154.93,Cash, ,Completed,Technology,AAPL
M&A,2/9/1997,Power Computing Corp,Apple Inc,,100,Cash, ,Completed,N.A.,AAPL
M&A,14/10/2018,Asaii Inc,Apple Inc,,100,Undisclosed, ,Completed,Technology,AAPL
M&A,31/7/2020,Mobeewave Inc,Apple Inc,"Mastercard Inc,Sberbank of Russia PJSC (Fund: SBT Venture Capital/Fund),NewAlpha Asset Management SAS/France (Fund: Newalpha Fintech),Samsung Venture Investment Corp (Fund: Samsung Automotive Innovation Fund),Forestay Capital SA,Oakland Partners Inc",100,Cash, ,Completed,Technology,AAPL
M&A,7/4/2020,NextVR Inc,Apple Inc,"Dick Clark Productions Inc,China Assets Holdings Ltd,NetEase Inc,CITIC Guoan Group Corp,Mandalay Entertainment Group,Unnamed Seller,Time Warner Investments,RSE Ventures LLC,VMS Investment Group Ltd,China Media Capital Partners (Fund: CMC Capital Partners LP),Softbank Capital Partners LP/US (F...",100,Cash, ,Completed,Technology,AAPL
M&A,14/3/2001,PowerSchool Inc,Apple Inc,,62,Stock, ,Completed,Communications,AAPL
M&A,24/2/2012,Chomp Inc,Apple Inc,,50,Cash, ,Completed,Communications,AAPL
M&A,27/10/2020,Unnamed Target,Apple Inc,,50,Undisclosed, ,Completed,Technology,AAPL
M&A,31/10/2013,Cue/USA,Apple Inc,,40,Cash, ,Completed,Communications,AAPL
M&A,10/10/2018,Spektral,Apple Inc,"LitePoint Corp,Amp Ventures LLC",30,Cash, ,Completed,Technology,AAPL
M&A,16/9/2015,Mapsense Inc,Apple Inc,"Redpoint Management LLC,General Catalyst Partners LLC,Formation8 Partners LLC",30,Cash, ,Completed,Technology,AAPL
M&A,20/9/2010,Polar Rose AB,Apple Inc,,29,Cash, ,Completed,Industrial,AAPL
M&A,21/11/2017,Vrvana Inc,Apple Inc,,23.49,Cash, ,Completed,Industrial,AAPL
M&A,24/3/2013,WiFiSLAM Inc,Apple Inc,,20,Cash, ,Completed,Technology,AAPL
M&A,9/7/2001,Spruce Technologies Inc,Apple Inc,Japan Information Processing Service Co Ltd,2.25,Undisclosed, ,Completed,Technology,AAPL
M&A,13/8/2013,Matcha.tv,Apple Inc,Plug & Play LLC,1.5,Cash, ,Completed,Communications,AAPL
M&A,11/4/2000,DVD authoring software       ,Apple Inc,,N/A,Undisclosed, ,Completed,N.A.,AAPL
M&A,28/4/2010,Siri Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,4/4/2002,Zayante Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,1/7/2002,eMagic.com LLC/Germany,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,17/10/2012,Particle Programmatica Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,30/5/2012,Redmatica,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,30/4/2013,Broadmap LLC,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,23/4/2008,PA Semi Inc,Apple Inc,"Highland Capital Partners LLC (Fund: Highland Capital Partners VII LP),Deer Management Co LLC (Fund: Bessemer Venture Partners VI LP)",N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,7/4/2015,Ottocat,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,5/10/2015,Perceptio,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,28/5/2015,Metaio GmbH,Apple Inc,"Westcott LLC,Atlantic Bridge Ventures (Fund: Atlantic Bridge I)",N/A,Cash, ,Completed,Technology,AAPL
M&A,14/4/2015,LinX Computational Imaging Ltd,Apple Inc,,N/A,Cash, ,Completed,"Consumer, Cyclical",AAPL
M&A,17/5/2015,Coherent Navigation Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,22/9/2016,Tuplejump Software Pvt Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,22/8/2013,Embark Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,28/7/2014,Booklamp,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,22/2/2014,Burstly Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,21/1/2015,Semetric Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,6/6/2014,Simple Rules Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,19/7/2013,Locationary,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,1/8/2013,Passif Semiconductor Corp,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,30/9/2013,Novauris Technologies Ltd,"Apple Inc,Triton Capital Investments",,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,24/7/2013,Hopstop.com Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,31/7/2013,Catch.com Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,28/8/2013,AlgoTrim,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,2/10/2015,VocalIQ Ltd,Apple Inc,"Cambridge Enterprise Ltd,Amadeus Capital Partners Ltd (Fund: Amadeus IV Early Stage Fund),ParkWalk Advisors Ltd (Fund: University of Cambridge Enterprise Fund II)",N/A,Cash, ,Completed,Technology,AAPL
M&A,4/12/2006,Proximity Corp,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,1/10/2009,Placebase Co Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,6/12/2009,La La Media Inc,Apple Inc,"Bain Capital Venture Partners LLC (Fund: Bain Capital Venture Fund 2005 LP),Ignition Partners LLC (Fund: Ignition Venture Partners III LP)",N/A,Cash, ,Completed,Technology,AAPL
M&A,5/1/2010,Quattro Wireless Inc,Apple Inc,"Highland Capital Partners LLC (Fund: Highland Capital Partners VII LP),Globespan Capital Partners Inc (Fund: Globespan Capital Partners V LP)",N/A,Cash, ,Completed,Communications,AAPL
M&A,14/7/2010,Poly9,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,27/4/2010,Intrinsity Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,24/3/2015,FoundationDB LLC,Apple Inc,"Sutter Hill Ventures LP,Private Investor,SV Angel Management LLC,Tuesday Capital",N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,7/1/2016,Emotient Inc,Apple Inc,"Intel Capital Corp (Fund: Intel Communications Fund),Handbag LLC",N/A,Cash, ,Completed,Technology,AAPL
M&A,28/1/2016,LearnSprout Inc,Apple Inc,"Private Investor,Samsung Venture Investment Corp,Formation8 Partners LLC (Fund: Formation8 Partners Fund I LP)",N/A,Cash, ,Completed,Technology,AAPL
M&A,30/1/2016,Flyby Media Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,25/11/2015,Faceshift AG,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,2/5/2014,LuxVue Technology Corp,Apple Inc,,N/A,Undisclosed, ,Completed,"Consumer, Cyclical",AAPL
M&A,24/9/2014,PRSS,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,19/2/2017,RealFace,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,23/3/2017,DeskConnect Inc,Apple Inc,"Lowercase Capital LLC (Fund: Lowercase Spur LP),General Catalyst Partners LLC (Fund: General Catalyst Group VII LP),Eniac Ventures Management LLC (Fund: ENIAC Ventures II LP)",N/A,Cash, ,Completed,Technology,AAPL
M&A,10/5/2017,Beddit Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,26/6/2017,Sensomotoric Instruments Inc,Apple Inc,,N/A,Undisclosed, ,Completed,"Consumer, Non-cyclical",AAPL
M&A,2/12/2013,Topsy Labs Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,6/1/2014,SnappyLabs LLC,Apple Inc,,N/A,Undisclosed, ,Completed,Communications,AAPL
M&A,4/10/2019,iKinema Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,8/6/2019,Drive.ai Inc,Apple Inc,"GrabTaxi Holdings Pte Ltd,InnoSpring Inc (Fund: InnoSpring Seed Fund II LP),Northern Light Venture Capital Corp (Fund: Northern Light Venture Fund IV LP),Unknown Seller,GGV Capital (Fund: GGV Capital VI),Maniv Mobility,New Enterprise Associates Inc (Fund: New Enterprise Associates XVI LP),Gra...",N/A,Cash, ,Completed,Technology,AAPL
M&A,30/8/2018,Akonia Holographics LLC,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,21/11/2018,Silk Labs Inc,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,7/12/2018,Platoon Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,5/12/2017,Pop Up Archive Inc,Apple Inc,Bloomberg Beta GP LLC,N/A,Cash, ,Completed,"Consumer, Cyclical",AAPL
M&A,15/1/2020,Xnor.ai Inc,Apple Inc,"Allen Institute For Brain Science/The,Madrona Venture Group LLC (Fund: Madrona Venture Fund VI LP),AutoTech Ventures LLC (Fund: Autotech Fund I LP),Nokia Growth Partners Management Co Oy (Fund: Nokia Growth Partners IV LP),Catapult Ventures Management LLC",N/A,Cash, ,Completed,Technology,AAPL
M&A,12/12/2019,Spectral Edge Ltd,Apple Inc,"Cambridge Angels Ltd,Cambridge Capital Group,Midven Ltd (Fund: UK Innovation & Science Seed Fund),Wren Capital LLP,IQ Capital Partners LLP (Fund: IQ Capital Fund I LP),ParkWalk Advisors Ltd (Fund: Parkwalk Opportunities EIS Fund),Unknown Seller",N/A,Undisclosed, ,Completed,"Consumer, Cyclical",AAPL
M&A,31/3/2020,Dark Sky Co LLC/The,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
M&A,3/4/2020,Voysis Ltd,Apple Inc,"Polaris Venture Partners LP (Fund: Polaris Entrepreneurs' Fund VII LP),Unknown Seller",N/A,Cash, ,Completed,Technology,AAPL
M&A,24/5/2019,Tueo Health Inc,Apple Inc,"Launchpad Digital Health LLC,Unknown Seller,Plug & Play LLC",N/A,Cash, ,Completed,Technology,AAPL
M&A,14/5/2020,Outsourcing Facility and State-Licensed Pharmacy/L,Apple Inc,Leiter's Enterprises Inc,N/A,Cash, ,Completed,"Consumer, Non-cyclical",AAPL
M&A,24/10/2017,PowerbyProxi Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Industrial,AAPL
M&A,14/2/2019,Operatedata Ltd,Apple Inc,,N/A,Undisclosed, ,Completed,Technology,AAPL
